# Distance(km)  Depth(km)  log10_Resistivity
0 1 nan
0 1.25893 nan
0 1.58489 nan
0 1.99526 nan
0 2.51189 nan
0 3.16228 nan
0 3.98107 nan
0 5.01187 nan
0 6.30957 nan
0 7.94328 nan
0 10 nan
0 12.5893 nan
0 15.8489 nan
0 19.9526 nan
0 25.1189 nan
0 31.6228 nan
0 39.8107 -0.996906
0 50.1187 2.20499
0 63.0957 2.46799
0 79.4328 2.60174
0 100 2.66193
0 125.893 2.65254
0 158.489 2.55421
0 199.526 2.29444
0 251.189 nan
0 316.228 nan
0 398.107 nan
0 501.187 nan
0 630.957 nan
0 794.328 nan
0 1000 nan
0 1258.93 nan
0 1584.89 1.77489
0 1995.26 2.31072
0 2511.89 2.54307
0 3162.28 2.67468
0 3981.07 2.74312
0 5011.87 2.76307
0 6309.57 2.74695
0 7943.28 2.71206
0 10000 2.67625
0 12589.3 2.64551
0 15848.9 2.61508
146.235 1 nan
146.235 1.25893 nan
146.235 1.58489 nan
146.235 1.99526 nan
146.235 2.51189 nan
146.235 3.16228 nan
146.235 3.98107 nan
146.235 5.01187 nan
146.235 6.30957 nan
146.235 7.94328 nan
146.235 10 nan
146.235 12.5893 nan
146.235 15.8489 nan
146.235 19.9526 nan
146.235 25.1189 nan
146.235 31.6228 nan
146.235 39.8107 0.654988
146.235 50.1187 2.22009
146.235 63.0957 2.47239
146.235 79.4328 2.60409
146.235 100 2.66492
146.235 125.893 2.65733
146.235 158.489 2.56193
146.235 199.526 2.31008
146.235 251.189 0.104187
146.235 316.228 nan
146.235 398.107 nan
146.235 501.187 nan
146.235 630.957 nan
146.235 794.328 nan
146.235 1000 nan
146.235 1258.93 nan
146.235 1584.89 1.86335
146.235 1995.26 2.2843
146.235 2511.89 2.48945
146.235 3162.28 2.61008
146.235 3981.07 2.67491
146.235 5011.87 2.69744
146.235 6309.57 2.68917
146.235 7943.28 2.6641
146.235 10000 2.63526
146.235 12589.3 2.60773
146.235 15848.9 2.58019
308.94 1 nan
308.94 1.25893 nan
308.94 1.58489 nan
308.94 1.99526 nan
308.94 2.51189 nan
308.94 3.16228 nan
308.94 3.98107 nan
308.94 5.01187 nan
308.94 6.30957 nan
308.94 7.94328 nan
308.94 10 nan
308.94 12.5893 nan
308.94 15.8489 nan
308.94 19.9526 nan
308.94 25.1189 nan
308.94 31.6228 nan
308.94 39.8107 0.758904
308.94 50.1187 2.16684
308.94 63.0957 2.38994
308.94 79.4328 2.4966
308.94 100 2.5376
308.94 125.893 2.51419
308.94 158.489 2.40494
308.94 199.526 2.13685
308.94 251.189 -0.0511299
308.94 316.228 nan
308.94 398.107 nan
308.94 501.187 nan
308.94 630.957 nan
308.94 794.328 nan
308.94 1000 nan
308.94 1258.93 1.5572
308.94 1584.89 1.96179
308.94 1995.26 2.21785
308.94 2511.89 2.39136
308.94 3162.28 2.50515
308.94 3981.07 2.5687
308.94 5011.87 2.59323
308.94 6309.57 2.58985
308.94 7943.28 2.57183
308.94 10000 2.55066
308.94 12589.3 2.53021
308.94 15848.9 2.50926
442.865 1 nan
442.865 1.25893 nan
442.865 1.58489 nan
442.865 1.99526 nan
442.865 2.51189 nan
442.865 3.16228 nan
442.865 3.98107 nan
442.865 5.01187 nan
442.865 6.30957 nan
442.865 7.94328 nan
442.865 10 nan
442.865 12.5893 nan
442.865 15.8489 0.669097
442.865 19.9526 1.42948
442.865 25.1189 1.75891
442.865 31.6228 1.84086
442.865 39.8107 2.04878
442.865 50.1187 2.25261
442.865 63.0957 2.34902
442.865 79.4328 2.39132
442.865 100 2.3889
442.865 125.893 2.33459
442.865 158.489 2.20477
442.865 199.526 1.92765
442.865 251.189 -0.0592366
442.865 316.228 nan
442.865 398.107 nan
442.865 501.187 nan
442.865 630.957 nan
442.865 794.328 nan
442.865 1000 nan
442.865 1258.93 1.49365
442.865 1584.89 1.7452
442.865 1995.26 1.95466
442.865 2511.89 2.14013
442.865 3162.28 2.2799
442.865 3981.07 2.36238
442.865 5011.87 2.40448
442.865 6309.57 2.41911
442.865 7943.28 2.41909
442.865 10000 2.41397
442.865 12589.3 2.40698
442.865 15848.9 2.39817
589.102 1 2.40955
589.102 1.25893 2.36145
589.102 1.58489 2.33021
589.102 1.99526 2.31198
589.102 2.51189 2.30365
589.102 3.16228 2.30279
589.102 3.98107 2.30756
589.102 5.01187 2.31665
589.102 6.30957 2.3292
589.102 7.94328 2.34474
589.102 10 2.36318
589.102 12.5893 2.38538
589.102 15.8489 2.41188
589.102 19.9526 2.40871
589.102 25.1189 2.40367
589.102 31.6228 2.37931
589.102 39.8107 2.37051
589.102 50.1187 2.37966
589.102 63.0957 2.36939
589.102 79.4328 2.3361
589.102 100 2.27417
589.102 125.893 2.17504
589.102 158.489 2.02534
589.102 199.526 1.80527
589.102 251.189 1.49503
589.102 316.228 1.55867
589.102 398.107 1.45518
589.102 501.187 nan
589.102 630.957 nan
589.102 794.328 nan
589.102 1000 nan
589.102 1258.93 nan
589.102 1584.89 nan
589.102 1995.26 nan
589.102 2511.89 1.03357
589.102 3162.28 1.68791
589.102 3981.07 1.91499
589.102 5011.87 2.04207
589.102 6309.57 2.1192
589.102 7943.28 2.16854
589.102 10000 2.20088
589.102 12589.3 2.22202
589.102 15848.9 2.23639
751.807 1 2.97751
751.807 1.25893 2.93354
751.807 1.58489 2.89414
751.807 1.99526 2.85868
751.807 2.51189 2.82674
751.807 3.16228 2.79799
751.807 3.98107 2.77214
751.807 5.01187 2.74889
751.807 6.30957 2.7279
751.807 7.94328 2.70877
751.807 10 2.69098
751.807 12.5893 2.67393
751.807 15.8489 2.65655
751.807 19.9526 2.62946
751.807 25.1189 2.59729
751.807 31.6228 2.55528
751.807 39.8107 2.51054
751.807 50.1187 2.46474
751.807 63.0957 2.40621
751.807 79.4328 2.329
751.807 100 2.22663
751.807 125.893 2.09611
751.807 158.489 1.94616
751.807 199.526 1.81446
751.807 251.189 1.76015
751.807 316.228 1.82418
751.807 398.107 1.78869
751.807 501.187 1.53318
751.807 630.957 nan
751.807 794.328 nan
751.807 1000 nan
751.807 1258.93 nan
751.807 1584.89 nan
751.807 1995.26 nan
751.807 2511.89 nan
751.807 3162.28 nan
751.807 3981.07 nan
751.807 5011.87 nan
751.807 6309.57 1.2881
751.807 7943.28 1.65388
751.807 10000 1.82534
751.807 12589.3 1.92782
751.807 15848.9 1.99917
898.045 1 3.17943
898.045 1.25893 3.13864
898.045 1.58489 3.09942
898.045 1.99526 3.06181
898.045 2.51189 3.02576
898.045 3.16228 2.99119
898.045 3.98107 2.95795
898.045 5.01187 2.92581
898.045 6.30957 2.89443
898.045 7.94328 2.86337
898.045 10 2.83201
898.045 12.5893 2.7996
898.045 15.8489 2.76514
898.045 19.9526 2.72525
898.045 25.1189 2.6804
898.045 31.6228 2.62847
898.045 39.8107 2.57038
898.045 50.1187 2.50549
898.045 63.0957 2.42843
898.045 79.4328 2.33455
898.045 100 2.2209
898.045 125.893 2.09292
898.045 158.489 1.9732
898.045 199.526 1.89906
898.045 251.189 1.88276
898.045 316.228 1.89526
898.045 398.107 1.83715
898.045 501.187 1.61737
898.045 630.957 nan
898.045 794.328 nan
898.045 1000 nan
898.045 1258.93 nan
898.045 1584.89 nan
898.045 1995.26 nan
898.045 2511.89 nan
898.045 3162.28 nan
898.045 3981.07 nan
898.045 5011.87 nan
898.045 6309.57 nan
898.045 7943.28 nan
898.045 10000 nan
898.045 12589.3 1.25278
898.045 15848.9 1.613
1004.33 1 3.27955
1004.33 1.25893 3.24082
1004.33 1.58489 3.20228
1004.33 1.99526 3.16417
1004.33 2.51189 3.12658
1004.33 3.16228 3.0895
1004.33 3.98107 3.05283
1004.33 5.01187 3.01633
1004.33 6.30957 2.97964
1004.33 7.94328 2.9423
1004.33 10 2.90369
1004.33 12.5893 2.86311
1004.33 15.8489 2.81983
1004.33 19.9526 2.77241
1004.33 25.1189 2.72059
1004.33 31.6228 2.66325
1004.33 39.8107 2.59987
1004.33 50.1187 2.52915
1004.33 63.0957 2.44794
1004.33 79.4328 2.35363
1004.33 100 2.24693
1004.33 125.893 2.13718
1004.33 158.489 2.04431
1004.33 199.526 1.98567
1004.33 251.189 1.95386
1004.33 316.228 1.92095
1004.33 398.107 1.83164
1004.33 501.187 1.60095
1004.33 630.957 nan
1004.33 794.328 nan
1004.33 1000 nan
1004.33 1258.93 nan
1004.33 1584.89 nan
1004.33 1995.26 nan
1004.33 2511.89 nan
1004.33 3162.28 nan
1004.33 3981.07 nan
1004.33 5011.87 nan
1004.33 6309.57 nan
1004.33 7943.28 nan
1004.33 10000 nan
1004.33 12589.3 nan
1004.33 15848.9 0.189238
1205.22 1 3.32312
1205.22 1.25893 3.28536
1205.22 1.58489 3.24725
1205.22 1.99526 3.20905
1205.22 2.51189 3.17089
1205.22 3.16228 3.13281
1205.22 3.98107 3.09469
1205.22 5.01187 3.0563
1205.22 6.30957 3.01728
1205.22 7.94328 2.97715
1205.22 10 2.9353
1205.22 12.5893 2.89111
1205.22 15.8489 2.84398
1205.22 19.9526 2.79312
1205.22 25.1189 2.73819
1205.22 31.6228 2.67846
1205.22 39.8107 2.61318
1205.22 50.1187 2.54101
1205.22 63.0957 2.4598
1205.22 79.4328 2.36819
1205.22 100 2.26832
1205.22 125.893 2.16938
1205.22 158.489 2.08608
1205.22 199.526 2.02592
1205.22 251.189 1.97765
1205.22 316.228 1.91704
1205.22 398.107 1.80164
1205.22 501.187 1.54344
1205.22 630.957 nan
1205.22 794.328 nan
1205.22 1000 nan
1205.22 1258.93 nan
1205.22 1584.89 nan
1205.22 1995.26 nan
1205.22 2511.89 nan
1205.22 3162.28 nan
1205.22 3981.07 nan
1205.22 5011.87 nan
1205.22 6309.57 nan
1205.22 7943.28 nan
1205.22 10000 nan
1205.22 12589.3 nan
1205.22 15848.9 nan
